organism,species
hpr,Haemophilus parainfluenzae
stb,Streptococcus pasteurianus
sip,Streptococcus sp. I-P16
rbr,Ruminococcus bromii
rum,Ruminococcus sp. SR1/5
rho,Roseburia hominis
cct,Coprococcus catus
eel,Eubacterium eligens
vpr,Veillonella parvula
mhg,Megamonas hypermegale
ele,Eggerthella lenta
gpa,Gordonibacter pamelaeae
aeq,Adlercreutzia equolifaciens
amu,Akkermansia muciniphila
bvu,Bacteroides vulgatus
bxy,Bacteroides xylanisolvens
pdi,Parabacteroides distasonis
osp,Odoribacter splanchnicus
afd,Alistipes finegoldii
ash,Alistipes shahii
bfr,Bacteroides fragilis
bth,Bacteroides thetaiotaomicron
bad,Bifidobacterium adolescentis
bbi,Bifidobacterium bifidum
bde,Bifidobacterium dentium
blo,Bifidobacterium longum
csh,Clostridium saccharolyticum
enc,Enterobacter cloacae
eco,Escherichia coli
ere,Eubacterium rectale
esr,Eubacterium siraeum
fpr,Faecalibacterium prausnitzii
kpn,Klebsiella pneumoniae
kva,Klebsiella variicola
rix,Roseburia intestinalis
ssr,Streptococcus salivarius
ral,[Ruminococcus] obeum
rto,[Ruminococcus] torques
bprs,butyrate-producing bacterium SS3/4
bprm,butyrate-producing bacterium SSC/2
